"","species","year","data","totalCatch"
"158","Sockeye",1983,"npafc",105450980
"159","Sockeye",1984,"npafc",76702110
"160","Sockeye",1985,"npafc",77968960
"161","Sockeye",1986,"npafc",64415070
"162","Sockeye",1987,"npafc",70859570
"163","Sockeye",1988,"npafc",60076000
"164","Sockeye",1989,"npafc",88278940
"165","Sockeye",1990,"npafc",105385520
"166","Sockeye",1991,"npafc",89293030
"167","Sockeye",1992,"npafc",116565020
"168","Sockeye",1993,"npafc",131352770
"169","Sockeye",1994,"npafc",106680320
"170","Sockeye",1995,"npafc",127477710
"171","Sockeye",1996,"npafc",107302090
"172","Sockeye",1997,"npafc",75246220
"173","Sockeye",1998,"npafc",47919580
"174","Sockeye",1999,"npafc",90153360
"175","Sockeye",2000,"npafc",71050130
"176","Sockeye",2001,"npafc",56338750
"177","Sockeye",2002,"npafc",49131880
"178","Sockeye",2003,"npafc",64927160
"179","Sockeye",2004,"npafc",92357630
"180","Sockeye",2005,"npafc",87472980
"181","Sockeye",2006,"npafc",88710420
"182","Sockeye",2007,"npafc",95605650
"183","Sockeye",2008,"npafc",79018730
"184","Sockeye",2009,"npafc",86887360
"185","Sockeye",2010,"npafc",94794530
"186","Sockeye",2011,"npafc",82160620
"187","Sockeye",2012,"npafc",72630640
"188","Sockeye",2013,"npafc",59509750
"189","Sockeye",2014,"npafc",98184090
"190","Sockeye",2015,"npafc",110819020
