long,lat,year,month,temp
-150,50,1911,6,6.75
-150,52,1911,3,2.73
-150,52,1911,4,3.25
-150,52,1911,5,4.34
-150,52,1911,6,6.57
-150,54,1911,3,2.11
-150,54,1911,4,2.8
-150,54,1911,5,4.14
-150,54,1911,6,6.79
-150,56,1911,3,1.96
-150,56,1911,4,2.74
-150,56,1911,5,4.21
-150,56,1911,6,7.2
-150,58,1911,3,2.02
-150,58,1911,4,2.8
-150,58,1911,5,4.26
-150,58,1911,6,7.52
-148,48,1911,3,4.82
-148,48,1911,4,5.09
-148,48,1911,5,5.7
-148,48,1911,6,7.65
-148,50,1911,3,3.77
-148,50,1911,4,4.13
-148,50,1911,5,4.95
-148,50,1911,6,7.04
-148,52,1911,3,2.88
-148,52,1911,4,3.37
-148,52,1911,5,4.46
-148,52,1911,6,6.8
-148,54,1911,3,2.23
-148,54,1911,4,2.9
-148,54,1911,5,4.24
-148,54,1911,6,6.95
-148,56,1911,3,2.01
-148,56,1911,4,2.81
-148,56,1911,5,4.32
-148,56,1911,6,7.4
-148,58,1911,3,2.1
-148,58,1911,4,2.96
-148,58,1911,5,4.55
-148,58,1911,6,7.96
-146,48,1911,3,4.96
-146,48,1911,4,5.2
-146,48,1911,5,5.83
-146,48,1911,6,7.97
-146,50,1911,3,3.99
-146,50,1911,4,4.31
-146,50,1911,5,5.15
-146,50,1911,6,7.39
-146,52,1911,3,3.18
-146,52,1911,4,3.62
-146,52,1911,5,4.68
-146,52,1911,6,7.14
-146,54,1911,3,2.51
-146,54,1911,4,3.13
-146,54,1911,5,4.42
-146,54,1911,6,7.22
-146,56,1911,3,2.19
-146,56,1911,4,2.97
-146,56,1911,5,4.45
-146,56,1911,6,7.62
-146,58,1911,3,2.21
-146,58,1911,4,3.1
-146,58,1911,5,4.74
-146,58,1911,6,8.27
-142,48,1911,3,5.27
-142,48,1911,4,5.38
-142,48,1911,5,6.06
-142,48,1911,6,8.48
-142,50,1911,3,4.48
-142,50,1911,4,4.67
-142,50,1911,5,5.49
-142,50,1911,6,8.01
-142,52,1911,3,3.83
-142,52,1911,4,4.14
-142,52,1911,5,5.13
-142,52,1911,6,7.84
-142,54,1911,3,3.26
-142,54,1911,4,3.73
-142,54,1911,5,4.88
-142,54,1911,6,7.89
-142,56,1911,3,2.94
-142,56,1911,4,3.57
-142,56,1911,5,4.88
-142,56,1911,6,8.18
-142,58,1911,3,2.88
-142,58,1911,4,3.66
-142,58,1911,5,5.11
-142,58,1911,6,8.68
-140,48,1911,3,5.49
-140,48,1911,4,5.53
-140,48,1911,5,6.21
-140,48,1911,6,8.72
-140,50,1911,3,4.75
-140,50,1911,4,4.89
-140,50,1911,5,5.67
-140,50,1911,6,8.3
-140,52,1911,3,4.18
-140,52,1911,4,4.45
-140,52,1911,5,5.36
-140,52,1911,6,8.19
-140,54,1911,3,3.68
-140,54,1911,4,4.1
-140,54,1911,5,5.16
-140,54,1911,6,8.26
-140,56,1911,3,3.38
-140,56,1911,4,3.96
-140,56,1911,5,5.15
-140,56,1911,6,8.51
-140,58,1911,3,3.29
-140,58,1911,4,4.03
-140,58,1911,5,5.35
-140,58,1911,6,8.91
-138,48,1911,3,5.71
-138,48,1911,4,5.69
-138,48,1911,5,6.36
-138,48,1911,6,8.95
-138,50,1911,3,5.04
-138,50,1911,4,5.12
-138,50,1911,5,5.86
-138,50,1911,6,8.58
-138,52,1911,3,4.57
-138,52,1911,4,4.79
-138,52,1911,5,5.62
-138,52,1911,6,8.53
-138,54,1911,3,4.14
-138,54,1911,4,4.54
-138,54,1911,5,5.46
-138,54,1911,6,8.6
-138,56,1911,3,3.85
-138,56,1911,4,4.4
-138,56,1911,5,5.44
-138,56,1911,6,8.78
-138,58,1911,3,3.69
-138,58,1911,4,4.39
-138,58,1911,5,5.52
-138,58,1911,6,9.03
-136,48,1911,3,5.92
-136,48,1911,4,5.89
-136,48,1911,5,6.56
-136,48,1911,6,9.18
-136,50,1911,3,5.35
-136,50,1911,4,5.42
-136,50,1911,5,6.11
-136,50,1911,6,8.89
-136,52,1911,3,4.97
-136,52,1911,4,5.18
-136,52,1911,5,5.91
-136,52,1911,6,8.84
-136,54,1911,3,4.6
-136,54,1911,4,4.99
-136,54,1911,5,5.77
-136,54,1911,6,8.87
