YEAR,HYP_LEN,FORK_LENGTH
1963,498,603
1963,475,571
1963,462,558
1963,438,536
1963,462,558
1963,516,618
1963,450,550
1963,519,626
1963,464,566
1963,437,541
1963,461,550
1963,461,550
1963,477,566
1963,461,554
1963,457,550
1963,461,554
1963,485,521
1963,477,566
1963,457,550
1963,470,565
1963,467,561
1963,461,552
1963,461,552
1963,485,521
1963,446,540
1963,494,608
1963,537,650
1963,521,634
1963,460,580
1963,511,620
1963,521,634
1963,494,608
1963,511,620
1963,483,596
1963,491,601
1963,476,586
1963,460,580
1963,468,576
1963,536,659
1963,515,623
1963,539,651
1963,547,659
1963,523,636
1963,504,621
1963,544,671
1963,476,586
1963,468,576
1963,491,601
1963,517,620
1963,488,591
1963,463,559
1963,464,560
1963,463,559
1963,494,599
1963,488,594
1963,466,573
1963,504,608
1963,496,601
1963,486,585
1963,481,582
1963,460,561
1963,485,585
1963,494,599
1963,492,596
1963,466,573
1963,502,606
1963,519,625
1963,460,561
1963,481,582
1963,488,591
1963,492,596
1963,480,573
1963,460,554
1963,476,571
1963,471,564
1963,440,534
1963,452,544
1963,430,521
1963,486,581
1963,462,557
1963,520,630
1963,490,604
1963,497,611
1963,548,663
1963,548,663
1963,471,586
1963,526,644
1963,491,609
1963,526,644
1963,519,636
1963,479,592
1963,492,608
1963,520,631
1963,520,631
1963,495,605
1963,520,630
1963,471,586
1963,444,548
1963,493,593
1963,519,626
1963,473,573
1963,479,579
1963,455,553
1963,462,558
1963,474,578
1963,474,578
1963,478,581
1963,480,587
1963,488,592
1963,473,576
1963,478,581
1963,464,571
1963,442,539
1963,475,582
1963,488,593
1963,442,539
1963,467,572
1963,480,581
1963,498,603
1964,456,541
1964,499,586
1964,470,563
1964,492,586
1964,484,578
1964,499,592
1964,505,596
1964,481,572
1964,481,570
1964,505,596
1964,492,581
1964,492,584
1964,464,543
1964,481,570
1964,464,543
1964,481,572
1964,469,559
1964,495,663
1964,496,620
1964,538,664
1964,566,700
1964,538,664
1964,491,625
1964,566,700
1964,569,702
1964,556,688
1964,486,618
1964,567,693
1964,530,652
1964,530,652
1964,477,592
1964,505,618
1964,459,568
1964,497,606
1964,496,609
1964,463,573
1964,461,573
1964,482,592
1964,505,618
1964,497,609
1964,529,641
1964,496,607
1964,482,593
1964,496,607
1964,510,618
1964,529,641
1964,498,612
1964,485,596
1964,485,596
1964,486,598
1964,501,609
1964,510,618
1964,502,610
1964,484,592
1964,483,601
1964,484,596
1964,479,587
1964,484,596
1964,497,609
1964,490,604
1964,486,598
1964,533,649
1964,495,612
1964,533,649
1964,501,606
1964,462,567
1964,497,600
1964,458,562
1964,531,635
1964,518,622
1964,518,622
1964,460,565
1964,498,602
1964,518,622
1964,462,567
1964,458,562
1964,521,626
1964,489,590
1964,475,578
1964,470,577
1964,473,572
1964,488,595
1964,495,602
1964,510,616
1964,470,570
1964,511,611
1964,484,584
1964,511,611
1964,519,619
1964,454,554
1964,458,564
1964,474,580
1964,504,610
1964,495,602
1964,494,601
1964,494,601
1964,516,612
1964,515,611
1964,479,575
1964,518,614
1964,476,572
1964,495,603
1964,479,587
1964,479,575
1964,474,571
1964,467,564
1964,494,591
1964,474,571
1964,480,578
1964,496,603
1964,506,613
1964,487,589
1964,497,598
1964,492,593
1964,490,591
1964,490,591
1964,481,583
1964,477,579
1964,478,580
1964,483,584
1964,521,626
1964,497,600
1964,492,593
1964,489,590
1964,507,610
1964,497,598
1964,520,623
1964,514,615
1964,514,615
1964,500,594
1964,499,592
1964,500,594
1964,472,563
1964,505,596
1964,513,608
1964,505,600
1964,450,542
1964,485,580
1964,462,550
1964,489,601
1964,502,615
1964,485,608
1964,485,608
1964,518,631
1964,518,631
1964,540,652
1964,479,594
1964,534,650
1964,536,645
1964,492,600
1964,563,680
1964,563,680
1964,536,648
1964,550,665
1964,529,643
1964,538,652
1964,529,643
1964,549,667
1964,536,645
1964,518,620
1964,516,621
1964,484,581
1964,518,620
1964,494,601
1964,501,603
1964,510,612
1964,513,615
1964,490,592
1964,542,647
1964,496,601
1964,470,568
1964,504,610
1964,549,650
1964,454,554
1964,514,618
1964,504,605
1964,518,617
1964,512,611
1964,465,564
1964,520,628
1964,545,652
1964,496,601
1964,518,617
1964,516,621
1964,542,647
1964,510,608
1964,519,617
1964,426,514
1964,426,514
1964,477,564
1964,441,528
1964,482,566
1964,473,565
1964,437,532
1964,452,544
1964,470,554
1964,470,554
1964,473,565
1964,452,544
1964,456,544
1964,458,547
1964,447,532
1964,485,578
1964,484,577
1964,484,577
1964,473,563
1964,518,627
1964,424,616
1964,518,627
1964,516,627
1964,547,657
1964,547,657
1964,532,642
1964,542,654
1964,516,627
1964,538,661
1964,538,661
1964,532,654
1964,514,629
1964,514,629
1964,507,620
1964,537,652
1964,532,654
1964,503,618
1964,507,620
1964,424,616
1964,523,628
1964,540,645
1964,540,645
1964,532,640
1964,518,620
1964,501,603
1964,530,630
1964,501,603
1964,510,610
1964,518,621
1964,512,613
1964,520,624
1964,534,638
1964,510,610
1964,530,630
1964,534,638
1964,460,561
1964,518,620
1964,528,627
1964,460,561
1964,494,593
1964,498,596
1964,512,613
1964,523,628
1964,469,567
1964,501,590
1964,517,613
1964,390,468
1964,447,532
1964,390,468
1964,453,545
1964,466,555
1964,517,597
1964,518,608
1964,535,630
1964,469,555
1964,459,545
1964,459,545
1964,447,532
1964,520,615
1964,538,647
1964,561,689
1964,542,652
1964,513,622
1964,556,676
1964,555,681
1964,517,625
1964,545,657
1964,481,582
1964,542,639
1964,520,618
1964,546,647
1964,513,610
1964,481,582
1964,527,633
1964,497,595
1964,498,596
1964,500,598
1964,498,596
1964,528,635
1964,528,635
1964,505,612
1964,510,610
1964,568,675
1964,493,593
1964,500,600
1964,546,647
1964,493,593
1964,576,678
1964,518,620
1964,513,615
1964,514,618
1964,535,640
1964,490,592
1964,500,596
1964,453,537
1964,444,532
1964,400,488
1964,444,532
1964,453,537
1964,400,488
1964,403,490
1964,403,490
1964,414,431
1964,442,536
1964,483,576
1964,433,522
1964,442,536
1964,433,522
1964,530,642
1964,545,660
1964,545,660
1964,542,666
1964,530,639
1964,497,610
1964,550,666
1964,540,653
1964,525,642
1964,493,611
1964,526,638
1964,504,622
1964,512,630
1964,536,655
1964,530,649
1964,497,610
1964,540,650
1964,518,640
1964,527,648
1964,530,645
1964,544,657
1964,553,680
1964,524,650
1964,527,638
1964,520,644
1964,480,580
1964,495,595
1964,512,618
1964,541,649
1964,495,595
1964,519,623
1964,543,650
1964,515,618
1964,541,649
1964,487,585
1964,504,609
1964,487,585
1964,472,554
1964,512,605
1964,490,575
1964,486,571
1964,482,574
1964,514,604
1964,482,574
1964,484,575
1964,499,590
1964,499,590
1964,484,575
1964,480,570
1964,490,580
1964,474,570
1964,476,565
1964,496,585
1964,481,570
1964,476,565
1964,470,557
1964,470,557
1964,490,580
1964,490,575
1964,477,560
1964,464,573
1964,524,641
1964,464,573
1964,524,641
1964,500,598
1964,504,602
1964,472,579
1964,512,620
1964,492,589
1964,511,610
1964,500,600
1964,483,582
1964,483,582
1964,472,579
1964,488,585
1964,464,568
1964,528,627
1964,486,585
1964,483,587
1964,507,610
1964,495,592
1964,520,626
1964,498,600
1964,507,610
1964,492,589
1964,500,600
1964,498,600
1964,510,614
1964,510,614
1964,491,587
1964,470,564
1964,470,564
1964,444,530
1964,444,530
1964,504,600
1964,543,662
1964,563,685
1964,532,644
1964,541,653
1964,517,631
1964,553,670
1964,551,667
1964,544,667
1964,553,681
1964,548,661
1964,547,657
1964,517,627
1964,546,665
1964,553,673
1964,545,665
1964,542,654
1964,544,650
1964,504,600
1964,525,630
1964,550,657
1964,509,616
1964,543,650
1964,511,613
1964,531,633
1964,532,640
1964,525,630
1964,519,624
1964,535,643
1964,515,612
1964,532,632
1964,519,623
1964,505,606
1964,513,617
1964,498,599
1964,550,657
1964,519,623
1964,531,632
1964,510,613
1964,518,621
1964,524,633
1964,483,583
1969,458,550
1969,493,581
1969,496,590
1969,509,603
1969,469,560
1969,497,590
1969,519,612
1969,490,583
1969,457,545
1969,462,549
1969,472,558
1969,486,570
1969,449,545
1969,491,600
1969,514,611
1969,519,627
1969,522,620
1969,455,552
1969,465,561
1969,520,625
1969,512,610
1969,504,609
1969,505,610
1969,488,592
1969,517,621
1969,500,604
1969,482,586
1969,516,619
1969,500,602
1969,458,560
1969,499,600
1969,488,594
1969,508,614
1969,536,642
1969,458,559
1969,518,619
1969,520,620
1969,492,590
1969,457,553
