Country,Whole Country/Province/State ,Reporting Area,Species,Catch Type,Data Type,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,British Columbia,Fraser River,Sockeye,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245.24,4871.09,1060.4,37.42,1248.11,826.33,3293.41,625.06,1420.16,17.32,1897.08,1.81,14.21,11.83,8949.32,458.17,9.03,27.45,8315.34,12.3
Canada,British Columbia,South Coast,Pink,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.17,7332.03,135.84,31.67,2135.71,2133.76,193.36,1844.65,150.96,556.44,86.94,129.58,14.77,2103.9,338.6,7190.69,3.25,1398.05,932.85,291.55
Canada,British Columbia,South Coast,Sockeye,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.26,15654.04,2866.39,382.5,1680.53,902.33,3366.78,2321.25,2345.61,700.47,6088.53,43.17,56.57,36.94,15635.44,584.62,21.39,152.23,13318.19,69.65
Canada,British Columbia,West Coast Vancouver Island,Pink,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.66,24.48,0.02,2.96,0.14,17.75,2.38,2.9,0.11,0.14,0.21,1.21,0.02,0.17,0.09,0.34,0.05,0.04,0.18,0.37
Canada,British Columbia,West Coast Vancouver Island,Sockeye,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.53,189.94,346.59,296.89,164.95,402.28,2081.86,947.91,565.53,48.39,322.82,0.83,0,50.68,1746.81,890.47,426.16,71.1,1126.11,1751.58
Canada,British Columbia,Central Coast,Pink,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.7,746.86,812.18,202.19,135.37,1441.29,1632.57,1161.53,597.76,1135.63,111.04,399.36,11.63,176.34,3.26,5.34,26,719.86,70.75,1096.97
Canada,British Columbia,Central Coast,Sockeye,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.31,83.92,58.42,13.81,6.52,6.66,16.63,50.64,14.35,2.8,3.26,1.12,0.82,3.83,0.73,137.4,1.35,6.71,6.76,4.81
Canada,British Columbia,North Coast,Pink,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5824.42,2346.79,1776.14,9247.74,4147.33,8043.83,6633.33,12994.67,2931.33,13308.43,1146.61,11883.72,306.4,11806.43,154.93,1850.35,672.28,15614.76,4606.31,626.29
Canada,British Columbia,North Coast,Sockeye,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12102.41,4491.14,751.48,1156.02,6041.86,6339.01,3510.55,3035.92,1662.09,513.84,2983.23,1746.89,1793.2,448.3,360.46,1124.59,1684.36,363.35,1692.1,633.59
Canada,British Columbia,Haida Gwaii,Pink,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781.51,1325.87,1197.5,46.23,1012.18,354.35,138.48,204.04,145.57,76.45,157.13,133.94,54.58,113.2,749.13,91.83,432.87,166.82,983.8,63.32
Canada,British Columbia,Haida Gwaii,Sockeye,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.77,1657.74,272,0.05,5.25,8.62,5.77,9.95,7.06,0.58,27.42,10.14,1.57,2.54,1.04,18.28,5.55,,108.61,6.97
Canada,British Columbia,Taku/Stikine,Pink,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.46,0.12,0.09,0.35,0.55,0.07,2.1,0.55,,,,,,,,,,,
Canada,British Columbia,Taku/Stikine,Sockeye,Commercial,Round wt (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.74,250.22,162.57,158.24,150.47,210.35,129.88,250.47,279.07,,,,,,,,,151.61,144.81,207.19
Canada,British Columbia,South Coast,Pink,Sport,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,45.9,2.7,24.9,2.3,17,6.9,,,,,,,,,,,,,,,,,,,,,,6.85,121.28,33.3,76.58,11.95,133.96,16.74,93.95,16.95,101.31,7.24,91.03,6.81,110.48,15.95,148.46,23.5,111.41
Canada,British Columbia,South Coast,Sockeye,Sport,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,1.4,0.1,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,4.47,94.35,4.11,3.08,5.19,3.39,4.87,7.81,37.38,0.28,0.19,0.25,76.67,16.92,0.12,2.23,359.63,0.35
Canada,British Columbia,West Coast Vancouver Island,Pink,Sport,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,0.4,<0.05,1.6,<0.05,0.1,,,,,,,,,,,,,,,,,,,,,,0.01,0.44,0.03,3.8,0.24,5.58,0.72,1.38,0.28,3.08,0.88,6.02,2.15,6.58,0.15,5.02,0.52,3.6
Canada,British Columbia,West Coast Vancouver Island,Sockeye,Sport,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.05,<  0.05,0.1,0.1,<  0.05,<0.05,0.2,,,,,,,,,,,,,,,,,,,,,,,1.41,36.59,69.46,55.72,53.7,79.3,30.41,28.66,0.06,0.07,57.93,14.5,48.84,17.99,18.15,24.06,93.35
Canada,British Columbia,North Coast,Pink,Sport,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,<  0.05,1.2,0.1,1,0.6,3.1,,,,,,,,,,,,,,,,,,,,,,9.06,3.43,9.23,11.32,7.21,7.75,4.66,4.18,1.38,3.79,0.72,1.77,2.06,5.78,3.33,2.31,3.92,3.64
Canada,British Columbia,North Coast,Sockeye,Sport,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.05,<  0.05,,0.1,0.9,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.01,0.18,0.03,0.01,0.02,0.02,0.01,0.01,0,20,0.1,0.16,0.13,0.05,24.3,0.1
Canada,British Columbia,Haida Gwaii,Pink,Sport,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,<  0.05,,0.8,4.1,0.2,3.6,,,,,,,,,,,,,,,,,,,,,,1.97,3.9,4.75,4,1.88,2.07,1.18,1.74,1.47,1.48,4.45,2,3.6,0.74,2.46,0.85,0.64,0.66
Canada,British Columbia,Haida Gwaii,Sockeye,Sport,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<  0.05,,<0.05,,<0.05,,,,,,,,,,,,,,,,,,,,,,,0.03,0.05,0.04,0.03,0.05,0.01,0.13,0.12,0.18,0.13,0.14,0.08,0.1,1.2,0.6,0.09,0.3,0.1
Canada,British Columbia,South Coast,Pink,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,45.98,0.57,44.98,1.79,33.23,2.1,64.3,6.4,60.4,1.5,89.8,3.5,107.7,,76.6,1,77.5,3.6,129.1,5.7,5.2,1.6,175.2,2.1,18.88,18.48,105.3,10.2,196.41,2.36,316.13,,,,17.85,3.02,24.61,70.24,1.35,0.02,191.1,17.84,41.38
Canada,British Columbia,South Coast,Sockeye,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.37,165.37,232.56,263.6,237.89,247.7,254.2,306.4,216.4,489.3,453.2,381.1,379.8,449.7,14.7,507.1,427.1,611.5,883.4,749.1,100.9,352.7,1130.6,630.1,588.94,110.45,655.68,316.1,577.6,831.08,979.05,643.71,477.4,0.52,908.58,218.83,444.94,70.49,1944.66,195.44,164.22,119.53,872.87,184.72
Canada,British Columbia,West Coast Vancouver Island,Pink,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,0.39,0.05,,0.03,,0.2,,,,,,,,1,,,<  0.05,< 0.05,,,0.1,<0.05,,,,,0.6,,,,,,,,0.1,0.01,0.13,0.01,0.51,,,1.85,
Canada,British Columbia,West Coast Vancouver Island,Sockeye,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,11.3,7.12,11.86,14.69,19.22,17.9,15.3,23.3,29.5,66.1,37.8,24,25.2,554.2,24.5,28.8,27.5,19.7,44.1,19.3,65.8,56.4,46.8,52.57,0.37,34.43,12.1,24.4,13.42,126.4,157.6,119.5,49.21,69.11,20.37,6.02,77.64,163.38,21.18,10.17,28.55,65.76,39.39
Canada,British Columbia,North Coast,Pink,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09,9.62,8.35,12.51,22.17,19.04,25.7,16.3,10.7,9.5,42.3,108,56.2,9.2,42.1,74.4,18,41.2,6.6,41,101.1,14.2,15.6,142.9,10.9,14.91,21.22,42.22,22.81,10.42,15.03,15.35,19.93,0.33,8.62,11.3,4.75,18.03,8.77,7.89,3.44,5.47,9.94,32.4
Canada,British Columbia,North Coast,Sockeye,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.73,96.46,99.99,113.2,121.89,154.52,147.5,180.2,174,100.3,259.4,178,226.3,93.6,184.2,176.4,177.7,187.6,68.5,243.7,193,190.5,376.4,401.5,290.99,169.38,170.22,167.67,973.8,112.44,128.29,139.64,147.68,2.22,153.55,142.47,189.1,131.46,157.9,156.37,120.51,120.51,193.72,301.74
Canada,British Columbia,Haida Gwaii,Pink,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.01,0.04,,,,,,,,0.3,,1.5,0.8,2.1,0.2,1.5,1,1.7,5.5,0.4,0.6,0.2,1.7,4.7,1.07,6.05,3.5,,6,0.75,3,3,1,1.5,0.07,,0.02,0.8,,0.17,0.17,0.9,0.21
Canada,British Columbia,Haida Gwaii,Sockeye,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.69,6.04,11.95,6.73,6.46,4.2,9.5,10.6,7.4,8.9,8.4,10.6,16.5,9.7,10.2,16.3,6.1,5.5,14.1,15.2,15.9,16.8,8.2,16.1,27.35,19.09,8.16,9.43,278.21,13.13,17.07,13.8,13.69,18.85,5.58,5.16,7.16,16.2,20.23,9,9,14.45,11.89
Canada,Yukon Territory and northern BC,Yukon Territory and northern BC,Pink,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,<0.05,,<0.05,,,,,,,,,,,,,,,,,,,
Canada,Yukon Territory and northern BC,Yukon Territory and northern BC,Sockeye,Subsistence,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,5.67,9.5,1.98,7.64,14.34,11.5,10,3,6.7,9.9,7.2,7.7,9.1,,,4,4.3,2.4,6.7,7.4,9.5,6.2,7.3,21.65,7.2,12.5,8.39,8.28,6.62,8.74,9.33,0.27,,,,,,7.87,9.07,4.17,8.14,13.29,9.91
United States,Alaska,Whole state,Pink,Commercial,Number (000's),35445.92,53746.51,21814.22,47182.23,39813.51,59345.22,40583.16,35822.6,38940.07,72800.67,49836.31,77423.82,66283.34,54475.03,44139.32,60766.45,77840.47,54609.56,47248.6,37741.46,47783.26,46644.43,34449.58,27250.4,57006.43,19974,28426.13,19861.57,15670.96,22890.47,24824.93,26420.63,13754.11,26099.29,10930.38,16079.31,21505.77,43863.83,34275.65,45290.76,20347.34,40051.3,6559.22,44726.6,25767.38,31147.35,23528.37,15920.39,9800.51,9858.58,12983.77,24750.85,28586.85,53814.63,50135.6,63281.96,60016.65,64828.33,60337.05,76240.26,90339.61,77319.89,46486.89,50357.61,96869.04,88208.23,128339.36,60518.03,109793.24,116349.64,128326.75,97837.27,71949.12,104779.55,146094.31,75172.78,127851.59,87310.84,124242.77,99933.79,161251.91,72821.34,144087.2,84089.62,97205.46,107681.98,116159.82,68045.59,226295.92,95716.06,190720.58
United States,Alaska,Whole state,Sockeye,Commercial,Number (000's),15224.86,31136.38,17008.94,27153.62,19947.79,10394.06,20861.02,25400.68,31182.08,30194.17,10248.81,34358.02,31116.96,34702.92,24805.07,11683.05,14588.09,12858.74,26991.2,19291.47,15009.63,14232.96,25988.66,19879.37,11836.97,14374,9652.81,16929.16,11792.65,9639.37,8710.56,14783.36,9890.84,6104.19,8076.57,17833.96,16081.31,9296.68,6215.4,9966.09,29770.49,15073.35,8576.4,8129.65,11416.82,27633.93,14179.62,6589.61,4490.2,4878.33,7453.39,11783.35,12460.12,18138.37,28722.65,33307.6,36342.98,28831.93,52725.49,38351.05,38984.48,32207.54,35429.78,30038,44139.47,52692.76,44646.51,58282.51,64312.61,52419.66,63531.93,50273.85,31086.69,22723.01,44679.05,33469.84,26523.42,22210.25,30912.29,44845.26,43387.79,41648.56,47468.19,39098.15,43330.49,41293.95,40260.02,35797.42,29577.81,44085.39,54755.51
United States,Alaska,Southeast,Pink,Commercial,Number (000's),28246.4,32193.38,8163.33,36051.2,21848.49,43483.23,27243.53,22605.6,25783.2,50327.89,30247.61,50747.39,35166.39,30288.24,23721.96,29093.69,60061.21,33127.2,18038.75,19344.07,21654.52,24821.81,14041.56,14352.45,43920.68,9423.82,22220.11,9802.66,4981.41,8909.48,9333.97,13728.27,6857.9,9837.91,7851.3,2985.02,12637.5,11585.18,19145.3,18581.46,10879.93,20438.17,3111.25,25085.4,4869.87,10657.03,9344.81,12399.78,6455.16,4888.75,4026.52,5329.57,13843.56,21243.38,10977.91,14478.31,18967.93,24190.24,37524.01,24630.56,51959.32,46172.28,10280.42,11207.16,59460.2,32342,61926.34,34963.3,57299.35,57274.88,47965.51,64628.58,28975.22,42535.4,77848.28,20313.43,67055.74,45331.01,52515.63,45333.01,59182.24,11678.91,44884.74,15974.35,38101.43,24201.85,59050.39,21304.09,94786.93,37194.63,35161.38
United States,Alaska,Southeast,Sockeye,Commercial,Number (000's),1843.52,2044.71,1444.56,1350.87,1901.46,2587.44,1823.09,1652.07,1010.46,1241.88,1892.84,2403.4,2187.19,2535.42,2487.15,1507.34,1674.41,1566.49,1123.76,1722.28,1683.29,888.24,746.17,524.53,489.8,552.2,819.62,919.32,1376.45,1220.16,747.33,914.78,1071.26,1008.24,890.64,588.29,744.48,772.24,677.92,923.92,1085.32,1054.12,971.54,830.78,811.58,667.91,623.25,916.72,1011.45,687.4,245.19,595.26,1085.14,788.32,1073.89,1120.42,1079.63,1489.96,1556.54,1213.84,1863.72,1442.98,1377.72,1460.42,2124.84,2155.72,2063.59,2666.42,3190.96,2392.49,1795.33,2799.85,2477.4,1375.36,1160.73,1229.34,2034.29,806.45,1525.36,2037.74,1607.84,1333.5,1904.8,436.3,925.75,717.62,1242.45,947.22,974.65,1669.93,1528.76
United States,Alaska,South Central,Pink,Commercial,Number (000's),7195.67,20743.36,13316.31,11084.37,17965.01,15613.26,13339.63,13044.61,13156.72,22439.07,19588.62,26149.76,31116.76,24186.79,20417.3,31414.39,17776.08,21310.44,29208.6,18339.48,26126.24,21781.36,20407.55,12844.69,13085.72,10518.01,6185.09,10011.61,10602.05,13293.07,15459.01,12566.74,6892.4,14452.16,3057.24,12312.63,8736.38,29297.46,14976.58,24944.56,9464.35,17027.63,3409.19,16664.05,20565.13,19262.53,14133.04,3343.61,3294.66,3810.79,8922.44,18255.73,14688.66,26538.48,38443.33,43082.43,40497.12,37442.57,22730.28,45766.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Alaska,South Central,Sockeye,Commercial,Number (000's),5047.11,9003.39,4244.69,5237.16,4979.69,3377.29,5486.34,7831.92,6112.56,7260.47,4853.81,10757,6811.1,6458.15,8239.36,4770.11,5268.3,4948.89,7969.83,5608.91,5631.71,4595.8,6242.8,4332.84,4760.73,6536.77,4135.99,4346.11,3763.14,3405.55,2814.98,3616.2,2188.84,1636.19,1936.8,2834.58,3030.25,3534.39,2436.59,3197.74,4228.57,4457.52,3048.57,4259.98,3649.94,6019.74,3611.18,3072.83,2540.09,2545.04,2039.15,4911.62,6005.42,6511.06,4188.79,6976.15,7703.96,10703.56,11609.95,10559.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Alaska,Central,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26447.42,14536.71,29669.72,14182.76,23251.58,45649.17,37979.29,10312.62,6729.26,39147.81,19047.86,26782.21,28722.23,30731.15,46188.17,40484.03,35912.95,21392.87,52875.53,26460.21,62303.01,23744.28,63906.06,43314.49,20206.2,73214.83,33800.7,28871.3,94624.77,46398.06,103754.79
United States,Alaska,Central,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29491.88,22093.88,27528.94,21923.04,35095.18,38175.45,30063.61,42952.17,47317.5,40445.57,49034.87,36968.44,20772.27,13268.09,30891.35,23471.59,18491.96,16043.06,21630.2,33225.36,31997.65,33445.86,36698.37,31784.23,35151.6,34033.06,31327.16,27953.16,20616.93,35045.37,42563.58
United States,Alaska,Western,Pink,Commercial,Number (000's),3.86,809.77,334.58,46.67,,248.73,,172.4,0.15,33.7,0.08,526.67,0.19,,0.06,258.37,3.18,171.91,1.25,57.91,2.51,41.26,0.47,53.26,0.04,32.17,20.93,47.31,87.5,687.92,31.95,125.62,3.82,1809.22,21.85,781.65,131.89,2981.2,153.77,1764.74,3.05,2585.5,38.78,2977.16,332.38,1227.79,50.53,176.99,50.69,1159.04,34.81,1165.55,54.63,6032.77,714.36,5721.23,551.59,3195.52,82.76,5843.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Alaska,Western,Sockeye,Commercial,Number (000's),8334.23,20088.29,11319.68,20565.6,13066.64,4429.34,13551.6,15916.7,24059.06,21691.81,3502.17,21197.63,22118.67,25709.36,14078.57,5405.61,7645.37,6343.36,17897.61,11960.28,7694.63,8748.92,18999.69,15022,6586.44,7285.03,4697.2,11663.74,6653.05,5013.66,5148.25,10252.38,6630.74,3459.77,5249.13,14411.09,12306.57,4990.06,3100.89,5844.43,24456.6,9561.72,4556.29,3038.9,6955.3,20946.27,9945.18,2600.07,938.66,1645.89,5169.05,6276.47,5369.56,10838.99,23459.98,25211.04,27559.4,16638.4,39559,26577.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Alaska,Westward,Pink,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11929.11,16553.09,6534.33,24854.35,14156.3,10200.23,28433.14,15149.54,45601.38,18859.48,61231.42,5937.36,14251.64,30922.26,22057.85,14208.75,24882.89,20586.97,18851.46,28140.56,39766.61,37398.1,35292.62,24709.28,38880.39,10233.14,23301.48,17664.18,36875.81,11885.94,51734.86
United States,Alaska,Westward,Sockeye,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7507.48,8528.41,6351.92,6502.81,6836.56,12156.78,12316.29,12470.06,13631.98,9387.79,12501.56,10383.04,7713.33,7949.48,12545.21,8658.54,5937.59,5336.53,7693.06,9518.57,9660.85,6719.78,8709.39,6764.26,7082.11,6340.8,7613.03,6805.3,7933.83,7287.44,10602.74
